שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
חוף גיא        	ריאלי - מסחר ושרותים - מלונאות ותיירות    	דרך המרחצאות 4, טבריה                      	04-6700700  	04-6700704 	www.gaibeachhotel.com          	gaibeach@netvision.net.il         	חוף גיא בעמ                                 	1029      	520042474
חילן           	הייטק - טכנולוגיה - שרותי מידע            	מיטב 8, תל-אביב                            	03-6383333  	03-6870088 	www.hilan.co.il                	baum@hilan.co.il                  	חילן בעמ                                    	1110      	520039942
חירון          	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	דרך בן-צבי 20, תל-אביב                     	03-6825217  	03-6824165 	                               	hiron@bezeqint.net                	חירון-מסחר השקעות ומבנה תעשיה בעמ           	150       	520034216
חלל תקשורת     	ריאלי - מסחר ושרותים - תקשורת ומדיה       	דרך מנחם בגין 7, רמת-גן                    	03-7551000  	03-7551001 	www.amos-spacecom.com          	info@amos-spacecom.com            	חלל-תקשורת בעמ                              	1132      	511396046
חממה סחר       	ריאלי - מסחר ושרותים - מסחר               	קויפמן 4, בית שרבט, תל-אביב                	03-5195555  	03-5107010 	www.hamama.biz                 	raya_a@hamama.biz                 	חממה מאיר סחר (1996) בעמ                    	1453      	512398017
חמת            	ריאלי - תעשיה - מתכת ומוצרי בניה          	תד 6555, אשדוד                             	08-8513870  	08-8562679 	www.hamat.co.il                	bennys@hamat.co.il                	קבוצת חמת בעמ                               	384       	520038530
חנל יהש        	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	גרניט 8, קרית-אריה, פתח-תקוה               	03-9229225  	03-9229255 	                               	office@isramco.com                	חנל - ים המלח שותפות מוגבלת                 	243       	550010466
חנן מור        	ריאלי - נדלן ובינוי - נדלן ובינוי         	הבנים 5, נס ציונה                          	08-9305959  	08-9302930 	www.hmg.co.il                  	office@hmg.co.il                  	קבוצת חנן מור אחזקות בעמ                    	1331      	513605519
חשמל           	ריאלי - מסחר ושרותים - שרותים             	נתיב האור 1, חיפה                          	04-8184700  	04-8184710 	www.iec.co.il                  	ub71f@iec.co.il                   	חברת החשמל לישראל בעמ                       	600       	520000472
טאואר          	הייטק - טכנולוגיה - מוליכים למחצה         	תד 619, מגדל העמק                          	04-6506611  	04-6547788 	www.towerjazz.com              	natiso@towersemi.com              	טאואר סמיקונדקטור בעמ                       	2028      	520041997
טבע            	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	תד 3190, פתח-תקוה                          	03-9267267  	03-9267519 	www.tevapharm.com              	tomer.amitai@teva.co.il           	טבע תעשיות פרמצבטיות בעמ                    	629       	520013954
טופ מערכות     	הייטק - טכנולוגיה - תוכנה ואינטרנט        	תד 58184, תל-אביב                          	03-7667777  	03-7667770 	www.top-group.co.il            	ifat_t@top-group.co.il            	טופ רמדור מערכות ומחשבים (1990) בעמ         	1081      	520044231
טיב טעם        	ריאלי - מסחר ושרותים - מסחר               	צבי הנחל 1, אזור תעשיה, עמק חפר            	04-6179048  	04-6179441 	www.tivtaam.co.il              	ehudw@tivtaam.co.il               	טיב טעם הולדינגס 1 בעמ                      	103       	520041187
טיב טקסטיל     	ריאלי - תעשיה - אופנה והלבשה              	אורט ישראל 11, בת-ים                       	03-5514298  	03-5514299 	www.tivtex.com                 	sasson@tivtex.com                 	טיב תשלובת טכסטיל (1969) בעמ                	300       	520037219
טכנופלס ונצ'ר  	הייטק - טכנולוגיה - השקעות בהייטק         	מנחם בגין132,מרכז עזריאלי, תל-אביב         	03-6074200  	03-6074202 	www.technoplusvc.com           	info@technoplusvc.com             	טכנופלס ונצ'רס בעמ                          	1082      	520044298
טלדור          	הייטק - טכנולוגיה - שרותי מידע            	הרוקמים 26, חולון                          	03-9298244  	03-9298320 	www.taldor.co.il               	maayans@taldor.co.il              	טלדור מערכות מחשבים (1986) בעמ              	477       	520039710
טלסיס          	ריאלי - מסחר ושרותים - מסחר               	דבורה הנביאה,בנין3,ק'3,נוה שרת, תל-אביב    	03-7657666  	03-6497407 	www.telsys.co.il               	tyagoda@telsys.co.il              	טלסיס בעמ                                   	354       	520038100
טמפו משקאות    	ריאלי - תעשיה - מזון                      	גיבורי ישראל 2, נתניה                      	09-8630530  	09-8630750 	www.tempo.co.il                	michaelha@tempo.co.il             	טמפו משקאות בעמ                             	1535      	513682625
טן-חברה לדלק   	ריאלי - מסחר ושרותים - שרותים             	אריה רגב 7, נתניה                          	09-8851313  	09-8851177 	www.10ten.co.il                	tenoil@ten-oil.co.il              	טן-חברה לדלק בעמ                            	1499      	511540809
יואל           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	גרניט 8, קרית-אריה, פתח-תקוה               	03-9229225  	03-9229255 	                               	office@isramco.com                	י.ו.א.ל. ירושלים אויל אקספלורשיין בעמ       	583       	520033226
יוזר טרנד      	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הירקון 23, בני ברק                         	073-2517799 	03-7521330 	                               	boaze@user-trend.co.il            	יוזר טרנד בעמ                               	1304      	512819178
יוניטרוניקס    	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	תד 300, נתבג                               	03-9778888  	03-9778877 	www.unitronics.com             	riki@unitronics.com               	יוניטרוניקס (1989) (רג) בעמ                 	2170      	520044199
יעד            	הייטק - טכנולוגיה - קלינטק                	אצל אפסווינג,ז'בוטינסקי 7, רמת גן          	03-6114922  	03-6114923 	                               	batia@upswing.co.il               	יעד נציגויות תעשיה בעמ                      	249       	520036567
